No ,Pertanyaan ,Jawaban,Sumber
68,Bagaimana jika tidak mampu melontar jamrah?,"Jika tidak mampu melontar jamrah karena uzur syar’i, seperti sakit, kewajiban melontar dapat diwakilkan kepada orang lain. Orang yang mewakilkan harus melontar untuk dirinya sendiri terlebih dahulu, kemudian melontar untuk yang diwakili. Ada hal lain tentang mewakilkan jamrah yang ingin bapak/ibu ketahui? (Halaman: 99)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
69,Apa itu tahallul awal?,"Tahallul awal adalah keadaan dimana jemaah telah melakukan dua dari tiga kegiatan berikut: melontar Jamrah Aqabah, mencukur atau memotong rambut, dan melakukan tawaf ifadhah serta sa'i. Setelah tahallul awal, jemaah boleh berganti pakaian biasa dan melakukan semua larangan ihram kecuali bersetubuh dengan pasangan. Ada hal lain yang ingin bapak/ibu ketahui tentang tahallul awal? (Halaman: 102)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
70,Bagaimana cara melaksanakan tahallul awal?,"Tahallul awal dilakukan setelah melontar Jamrah Aqabah dan mencukur atau memotong rambut. Setelah tahallul awal, jemaah boleh berganti pakaian biasa dan menghindari larangan ihram kecuali bersetubuh. Apakah ada hal lain yang ingin bapak/ibu tanyakan tentang pelaksanaan tahallul awal? (Halaman: 102)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
71,Apa itu tahallul tsani?,"Tahallul tsani adalah keadaan dimana jemaah telah melakukan tiga kegiatan haji: melontar Jamrah Aqabah, mencukur atau memotong rambut, dan melakukan tawaf ifadhah serta sa'i. Setelah tahallul tsani, semua larangan ihram menjadi tidak berlaku lagi, termasuk bersetubuh. Ada hal lain tentang tahallul yang ingin bapak/ibu tanyakan? (Halaman: 102)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
72,Bagaimana cara melaksanakan tahallul tsani?,"Tahallul tsani dilakukan setelah jemaah melontar Jamrah Aqabah, mencukur atau memotong rambut, dan melakukan tawaf ifadhah serta sa'i. Setelah tahallul tsani, semua larangan ihram menjadi tidak berlaku lagi, termasuk bersetubuh dengan pasangan. Apakah ada hal lain tentang tahallul yang ingin bapak/ibu tanyakan? (Halaman: 103)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
73,Apa itu dam dalam konteks haji?,"Dam adalah denda yang harus dibayar oleh jemaah haji yang melanggar aturan ihram atau tidak melakukan salah satu wajib haji. Dam ini berupa penyembelihan hewan seperti kambing, sapi, atau unta. Apakah ada hal lain tentang dam yang ingin bapak/ibu tanyakan? (Halaman: 105)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
74,Bagaimana cara membayar dam?,"Dam bisa dibayar dengan menyembelih hewan di tanah haram atau melalui bank yang ditunjuk oleh pemerintah Arab Saudi. Jika tidak mampu, jemaah bisa menggantinya dengan puasa 10 hari, tiga hari di Makkah dan tujuh hari setelah pulang. Apakah ada pertanyaan lain tentang dam yang bisa saya bantu? (Halaman: 106)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
75,Apa itu nafar dalam haji?,Nafar adalah keberangkatan jemaah haji meninggalkan Mina pada hari-hari tasyrik. Nafar terbagi menjadi dua: nafar awal (meninggalkan Mina pada 12 Dzulhijjah) dan nafar tsani (meninggalkan Mina pada 13 Dzulhijjah). Ada hal lain tentang nafar yang ingin bapak/ibu ketahui? (Halaman: 292),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
76,Bagaimana cara melaksanakan nafar?,"Nafar dilakukan dengan melontar tiga jamrah (Sughra, Wustha, dan Aqabah) pada hari tasyrik. Nafar awal dilakukan pada 12 Dzulhijjah dan nafar tsani pada 13 Dzulhijjah. Jemaah memilih sesuai dengan kemampuannya. Apakah ada hal lain tentang nafar yang ingin bapak/ibu tanyakan? (Halaman: 292)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
77,Apa kekhususan haji perempuan?,"Haji perempuan memiliki beberapa kekhususan, seperti menutup aurat kecuali wajah dan tangan, tidak mengeraskan suara saat berdzikir dan membaca talbiyah, tidak mencukur rambut tapi hanya memotong ujung rambut, dan boleh menunda tawaf jika sedang haid. Ada hal lain tentang haji perempuan yang ingin bapak/ibu ketahui? (Halaman: 107)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
78,Bagaimana tata cara haji bagi perempuan?,"Tata cara haji bagi perempuan pada dasarnya sama dengan laki-laki, tetapi dengan beberapa pengecualian seperti yang disebutkan sebelumnya. Perempuan juga harus menjaga kebersihan dan keamanan diri selama ibadah. Ada hal lain tentang tata cara haji bagi perempuan yang ingin bapak/ibu tanyakan? (Halaman: 107)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
79,Apa kekhususan haji lansia?,"Haji lansia membutuhkan perhatian khusus seperti kemudahan dalam transportasi, penginapan yang dekat dengan tempat ibadah, dan bantuan dalam melaksanakan manasik. Lansia juga bisa menggunakan kursi roda jika diperlukan. Apakah ada hal lain tentang haji lansia yang ingin bapak/ibu ketahui? (Halaman: 109)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
80,Bagaimana tata cara haji bagi lansia?,"Tata cara haji bagi lansia sama dengan jemaah lainnya, tetapi mereka bisa mendapat bantuan dalam pelaksanaan manasik, termasuk penggunaan kursi roda dan pendampingan khusus. Apakah ada hal lain tentang haji lansia yang ingin bapak/ibu tanyakan? (Halaman: 109)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
81,Apa kekhususan haji jemaah sakit?,"Jemaah sakit memerlukan perhatian khusus seperti ketersediaan obat-obatan, pendampingan medis, dan kemudahan dalam pelaksanaan manasik. Mereka juga bisa menggunakan fasilitas kesehatan yang disediakan selama haji. Apakah ada hal lain tentang haji jemaah sakit yang ingin bapak/ibu ketahui? (Halaman: 109)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
82,Bagaimana tata cara haji bagi jemaah sakit?,"Jemaah haji yang sakit dapat melakukan wukuf dengan safari wukuf, diantar dengan bus atau ambulans ke Arafah dan tetap berada di dalam kendaraan saat wukuf. Melontar jamrah dapat diwakilkan, dan tawaf ifadhah bisa dilakukan dengan kursi roda atau dibadalkan. Apakah ada hal lain yang ingin bapak/ibu tanyakan tentang haji bagi jemaah sakit? (Halaman: 306)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
83,Apa itu badal haji?,Badal haji adalah pelaksanaan ibadah haji oleh seseorang atas nama orang lain yang tidak mampu melakukannya sendiri karena sakit parah atau telah meninggal. Apakah ada hal lain tentang badal haji yang ingin bapak/ibu tanyakan? (Halaman: 119),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
84,Bagaimana pelaksanaan badal haji?,Badal haji dilaksanakan oleh petugas yang ditunjuk pemerintah dan dibiayai oleh pemerintah. Jemaah atau keluarga tidak dikenakan biaya dan akan menerima sertifikat badal haji sebagai bukti. Apakah ada hal lain tentang pelaksanaan badal haji yang ingin bapak/ibu ketahui? (Halaman: 121),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
85,Apa saja syarat sah badal haji?,"Syarat sah badal haji adalah orang yang melakukan badal harus memenuhi syarat wajib haji dan sudah berhaji untuk dirinya sendiri. Laki-laki bisa membadalkan perempuan dan sebaliknya, serta wakil diutamakan keluarga atau orang lain yang dipercayakan. Apakah ada syarat lain yang ingin bapak/ibu ketahui? (Halaman: 300)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
86,Apa hikmah dari pelaksanaan haji?,"Hikmah dari pelaksanaan haji termasuk mengingatkan manusia tentang asal dan tujuan hidupnya, meningkatkan kesadaran spiritual, dan menghapus dosa. Haji juga mengajarkan tentang kesabaran dan keikhlasan. Ada hikmah lain dari pelaksanaan haji yang ingin bapak/ibu ketahui? (Halaman: 159)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
87,Apa hikmah dari pelaksanaan umrah?,"Hikmah umrah adalah menghapus dosa-dosa antara satu umrah dengan umrah berikutnya, memperkuat hubungan dengan Allah SWT, dan mengajarkan pentingnya berziarah serta bersilaturahim. Apakah ada hikmah lain dari umrah yang ingin bapak/ibu ketahui? (Halaman: 158)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
88,Bagaimana cara menjaga kesehatan selama umrah?,"Menjaga kesehatan selama umrah dengan memperbanyak istirahat, minum air yang cukup, menjaga pola makan, dan membawa obat-obatan pribadi. Apakah ada tips lain tentang menjaga kesehatan yang ingin bapak/ibu tanyakan? (Halaman: 290)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
89,Apa saja tips agar tidak tersesat selama di Makkah?,"Tips agar tidak tersesat termasuk selalu bersama rombongan, menghafal nama dan lokasi hotel, membawa peta atau menggunakan aplikasi peta di ponsel, serta selalu mencatat nomor telepon penting. Ada tips lain yang ingin bapak/ibu ketahui? (Halaman: 290)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
90,Bagaimana cara menggunakan fasilitas umum di Makkah?,"Menggunakan fasilitas umum di Makkah dengan mengikuti petunjuk yang ada, menjaga kebersihan, dan mematuhi peraturan setempat. Fasilitas seperti toilet, tempat wudhu, dan area istirahat tersedia di Masjidil Haram dan sekitarnya. Apakah ada fasilitas umum lain yang ingin bapak/ibu tanyakan? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
91,Apa saja tempat ziarah yang direkomendasikan di Makkah?,"Tempat ziarah yang direkomendasikan di Makkah antara lain Ka'bah, Masjidil Haram, rumah kelahiran Nabi Muhammad SAW, makam Ma'la, Masjid Jin, Masjid Dzi Thuwa, Jabal Nur, dan Jabal Tsur. Tempat-tempat ini memiliki nilai sejarah tinggi dan penting untuk dikunjungi. Apakah ada tempat khusus yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: 235)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
92,Apa itu Raudhah?,"Raudhah adalah tempat di dalam Masjid Nabawi yang berada di antara mimbar dan makam Nabi Muhammad SAW. Tempat ini dianggap sebagai salah satu taman surga, dan doa di tempat ini sangat dianjurkan karena keutamaan dan kemuliaannya. Apakah bapak/ibu ingin tahu cara masuk ke Raudhah? (Halaman: 215)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
93,Bagaimana cara masuk ke Raudhah?,"Untuk masuk ke Raudhah, jemaah harus mengikuti jadwal yang ditetapkan oleh pengelola Masjid Nabawi. Biasanya, waktu kunjungan dibagi antara jemaah laki-laki dan perempuan. Jemaah juga diharapkan menjaga ketertiban dan tidak berdesak-desakan. Apakah ada hal lain yang ingin bapak/ibu ketahui tentang Raudhah? (Halaman: 215)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
94,Apa saja tempat ziarah yang direkomendasikan di Madinah?,"Tempat ziarah yang direkomendasikan di Madinah antara lain Masjid Nabawi, Raudhah, Masjid Quba, Masjid Qiblatain, Jabal Uhud, dan Baqi' al-Gharqad. Tempat-tempat ini memiliki nilai sejarah tinggi dan sering dikunjungi oleh jemaah haji dan umrah. Ada tempat khusus di Madinah yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: 208)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
95,Apa itu Masjid Nabawi?,"Masjid Nabawi adalah masjid yang dibangun oleh Nabi Muhammad SAW di Madinah. Masjid ini adalah tempat suci kedua bagi umat Islam setelah Masjidil Haram di Makkah. Di dalamnya terdapat makam Nabi Muhammad SAW dan dua sahabatnya, Abu Bakar RA dan Umar RA. Apakah bapak/ibu ingin tahu lebih detail tentang tata cara beribadah di Masjid Nabawi? (Halaman: 213)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
96,Bagaimana tata cara beribadah di Masjid Nabawi?,"Tata cara beribadah di Masjid Nabawi termasuk melakukan salat fardhu berjamaah, salat sunnah, berdoa di Raudhah, dan ziarah ke makam Nabi Muhammad SAW dan sahabatnya. Jemaah juga disarankan untuk menjaga ketertiban dan kebersihan selama berada di masjid. Ada hal lain tentang ibadah di Masjid Nabawi yang ingin bapak/ibu tanyakan? (Halaman: 214)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
97,Apa saja keutamaan shalat di Masjid Nabawi?,"Keutamaan shalat di Masjid Nabawi sangat tinggi, yaitu shalat di Masjid Nabawi lebih mulia nilainya 1.000 kali lipat dibandingkan shalat di masjid lain, kecuali di Masjidil Haram yang lebih mulia 100.000 kali lipat. Apakah ada hal lain tentang keutamaan shalat yang ingin bapak/ibu ketahui? (Halaman: 212)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
98,Apa saja sunnah-sunnah yang dilakukan di Masjid Nabawi?,"Sunnah-sunnah yang dilakukan di Masjid Nabawi termasuk shalat tahiyatul masjid, shalat di Raudhah, membaca Al-Quran, berdoa, dan berzikir. Jemaah juga disarankan untuk memperbanyak amal ibadah selama berada di masjid ini. Apakah ada sunnah lain yang ingin bapak/ibu tanyakan? (Halaman: 215)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
99,Bagaimana cara menjaga kesucian diri selama umrah?,"Menjaga kesucian diri selama umrah dengan selalu berwudhu, menghindari perbuatan maksiat, dan memperbanyak dzikir serta doa. Juga penting untuk menjaga kebersihan pakaian dan tubuh. Apakah ada tips lain tentang menjaga kesucian diri yang ingin bapak/ibu tanyakan? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
100,Apa saja amalan sunnah yang bisa dilakukan selama umrah?,"Amalan sunnah selama umrah termasuk memperbanyak tawaf sunnah, shalat sunnah di Masjidil Haram, berdoa di Multazam, berzikir, membaca Al-Quran, dan membantu sesama jemaah. Apakah ada amalan tertentu yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
101,Bagaimana cara menjaga kebersihan selama umrah?,"Untuk menjaga kebersihan selama umrah, pastikan selalu membawa tisu basah atau hand sanitizer, sering mencuci tangan dengan sabun, menjaga kebersihan pakaian, dan membuang sampah pada tempatnya. Menjaga kebersihan juga mencakup menjaga kebersihan kamar dan lingkungan sekitar. Apakah ada hal lain yang ingin bapak/ibu tanyakan tentang kebersihan selama umrah? (Halaman: 32)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
102,Apa saja larangan yang harus dihindari selama umrah?,"Larangan selama umrah termasuk memakai wangi-wangian setelah niat ihram, memotong kuku atau rambut, berburu hewan, menikah atau menikahkan, bercumbu atau bersetubuh, dan bertengkar atau berkata kasar. Ada hal lain tentang larangan umrah yang ingin bapak/ibu ketahui? (Halaman: 262)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
103,Bagaimana cara beradaptasi dengan cuaca di Makkah dan Madinah?,"Cara beradaptasi dengan cuaca di Makkah dan Madinah termasuk memakai pakaian yang sesuai dengan cuaca, minum air yang cukup untuk menghindari dehidrasi, menggunakan krim pelembap untuk kulit, dan selalu membawa payung atau topi untuk melindungi diri dari sinar matahari. Apakah ada tips lain yang ingin bapak/ibu tanyakan? (Halaman: 16)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
104,Apa saja makanan yang direkomendasikan selama umrah?,"Makanan yang direkomendasikan selama umrah adalah makanan yang higienis, bergizi, dan seimbang. Konsumsi makanan seperti buah-buahan, sayuran, protein, dan cukup minum air. Hindari makanan yang terlalu berat atau berminyak. Apakah ada makanan tertentu yang ingin bapak/ibu tanyakan? (Halaman: 291)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
105,Bagaimana cara menjaga kesehatan makanan selama umrah?,"Untuk menjaga kesehatan makanan selama umrah, pastikan makanan yang dikonsumsi bersih dan higienis, hindari makanan yang tidak jelas sumbernya, dan perhatikan tanggal kedaluwarsa makanan kemasan. Apakah ada tips lain yang ingin bapak/ibu ketahui tentang menjaga kesehatan makanan? (Halaman: 291)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
106,Apa yang harus dilakukan jika sakit selama umrah?,"Jika sakit selama umrah, segera hubungi petugas kesehatan atau klinik kesehatan haji terdekat. Jangan lupa membawa obat-obatan pribadi dan selalu ikuti petunjuk medis yang diberikan. Apakah ada hal lain yang ingin bapak/ibu tanyakan tentang tindakan saat sakit? (Halaman: 291)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
107,Bagaimana cara mencari bantuan medis di Makkah dan Madinah?,"Untuk mencari bantuan medis di Makkah dan Madinah, kunjungi Klinik Kesehatan Haji Indonesia (KKHI) yang tersedia di kedua kota ini, atau hubungi petugas kesehatan kloter. KKHI siap memberikan layanan kesehatan untuk jemaah haji dan umrah. Apakah ada lokasi klinik yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: 346)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
108,Apa saja tips agar tetap sehat selama umrah?,"Tips agar tetap sehat selama umrah termasuk menjaga pola makan yang sehat, cukup istirahat, minum air yang cukup, menjaga kebersihan diri dan lingkungan, serta menghindari kerumunan yang berisiko tinggi. Apakah ada tips kesehatan lain yang ingin bapak/ibu tanyakan? (Halaman: 291)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
109,Bagaimana cara menjaga kebersihan diri dan lingkungan selama umrah?,"Menjaga kebersihan diri dan lingkungan selama umrah dengan selalu mencuci tangan, menjaga kebersihan pakaian dan tempat tinggal, serta membuang sampah pada tempatnya. Pastikan juga untuk selalu membawa perlengkapan kebersihan pribadi. Apakah ada tips lain yang ingin bapak/ibu ketahui? (Halaman: 32)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
110,Apa saja persiapan yang harus dilakukan sebelum berangkat umrah?,"Persiapan sebelum berangkat umrah termasuk mempersiapkan dokumen lengkap seperti paspor dan visa, pakaian ihram, obat-obatan pribadi, serta mental dan fisik dengan memperbanyak doa, dzikir, dan menjaga kesehatan. Apakah ada persiapan khusus yang ingin bapak/ibu tanyakan? (Halaman: 35)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
111,Bagaimana cara mempersiapkan dokumen umrah?,"Untuk mempersiapkan dokumen umrah, pastikan Anda memiliki paspor yang masih berlaku, visa umrah, bukti vaksinasi, dan tiket pesawat. Selain itu, pastikan membawa fotokopi dokumen penting sebagai cadangan. Apakah ada dokumen lain yang ingin bapak/ibu tanyakan? (Halaman: 14)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
112,Apa saja dokumen yang perlu dibawa selama umrah?,"Dokumen yang perlu dibawa selama umrah termasuk paspor, visa umrah, bukti vaksinasi, tiket pesawat, kartu identitas, dan buku kesehatan. Jangan lupa juga membawa fotokopi dari semua dokumen tersebut. Apakah ada hal lain yang ingin bapak/ibu ketahui tentang dokumen? (Halaman: 14)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
113,Bagaimana cara mengatur keuangan selama umrah?,"Cara mengatur keuangan selama umrah dengan membawa uang tunai secukupnya dalam mata uang Riyal, menggunakan kartu ATM atau kartu kredit untuk transaksi, dan menghindari membawa terlalu banyak uang tunai. Apakah ada tips keuangan lain yang ingin bapak/ibu tanyakan? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
114,Apa saja mata uang yang digunakan di Makkah dan Madinah?,Mata uang yang digunakan di Makkah dan Madinah adalah Riyal Saudi (SAR). Disarankan untuk menukar mata uang sebelum berangkat atau di tempat penukaran resmi. Apakah bapak/ibu perlu informasi lebih lanjut tentang penukaran uang? (Halaman: 291),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
115,Bagaimana cara menukar uang di Makkah dan Madinah?,"Menukar uang di Makkah dan Madinah bisa dilakukan di tempat penukaran resmi, bank, atau hotel. Pastikan untuk menukar di tempat yang terpercaya dan memeriksa nilai tukar yang berlaku. Apakah ada hal lain tentang penukaran uang yang ingin bapak/ibu tanyakan? (Halaman: 291)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
116,Apa saja tempat belanja yang direkomendasikan di Makkah dan Madinah?,"Tempat belanja yang direkomendasikan di Makkah dan Madinah antara lain pasar tradisional, mal modern, dan toko-toko sekitar Masjidil Haram dan Masjid Nabawi. Tempat-tempat ini menyediakan berbagai oleh-oleh dan kebutuhan sehari-hari. Apakah ada tempat belanja khusus yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
117,Bagaimana cara menjaga barang bawaan selama umrah?,"Cara menjaga barang bawaan selama umrah termasuk selalu membawa tas kecil untuk barang berharga, menggunakan kunci untuk koper, dan tidak meninggalkan barang berharga di tempat umum. Pastikan juga untuk selalu waspada terhadap lingkungan sekitar. Apakah ada tips lain yang ingin bapak/ibu ketahui? (Halaman: 30)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
118,Apa saja tips agar tidak kehilangan barang selama umrah?,"Tips agar tidak kehilangan barang selama umrah termasuk mencatat dan mengingat tempat penyimpanan barang, selalu mengawasi barang bawaan, dan menggunakan tas atau dompet yang mudah diawasi. Pastikan juga untuk tidak meninggalkan barang di tempat umum. Apakah ada hal lain yang ingin bapak/ibu tanyakan? (Halaman: 30)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
119,Bagaimana cara berkomunikasi dengan keluarga di tanah air selama umrah?,Cara berkomunikasi dengan keluarga di tanah air selama umrah adalah dengan menggunakan aplikasi pesan instan seperti WhatsApp atau bisa juga menggunakan email selama terhubung ke WiFi atau membeli kartu SIM lokal. Apakah bapak/ibu memerlukan informasi lebih lanjut tentang kartu SIM lokal? (Halaman: -),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
120,Apa saja alat komunikasi yang bisa digunakan di Makkah dan Madinah?,"Alat komunikasi yang bisa digunakan di Makkah dan Madinah termasuk ponsel dengan aplikasi pesan instan, kartu SIM lokal, dan telepon umum. Pastikan untuk selalu terhubung dengan internet untuk komunikasi yang lancar. Apakah ada alat komunikasi lain yang ingin bapak/ibu tanyakan? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
121,Bagaimana cara mengakses internet di Makkah dan Madinah?,"Halo bapak/ibu, untuk mengakses internet di Makkah dan Madinah, bapak/ibu bisa menggunakan Wi-Fi yang biasanya tersedia di hotel atau penginapan. Selain itu, bapak/ibu bisa membeli kartu SIM lokal yang menyediakan paket internet. Apakah bapak/ibu perlu rekomendasi tempat membeli kartu SIM tersebut? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
122,Apa saja aplikasi yang bermanfaat selama umrah?,"Halo bapak/ibu, beberapa aplikasi yang bermanfaat selama umrah antara lain aplikasi Quran, aplikasi arah kiblat, aplikasi jadwal sholat, dan aplikasi transportasi lokal. Apakah bapak/ibu memerlukan rekomendasi aplikasi spesifik? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
123,Bagaimana cara menggunakan transportasi umum di Makkah dan Madinah?,"Halo bapak/ibu, untuk menggunakan transportasi umum di Makkah dan Madinah, bapak/ibu bisa menggunakan bus shalawat yang disediakan khusus untuk jamaah haji dan umrah, atau menggunakan taksi. Pastikan selalu mengetahui jadwal dan rute bus. Ada yang ingin bapak/ibu tanyakan lebih lanjut mengenai transportasi umum? (Halaman: 36-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
124,Apa saja jenis transportasi umum yang tersedia di Makkah dan Madinah?,"Halo bapak/ibu, jenis transportasi umum yang tersedia di Makkah dan Madinah antara lain bus shalawat, taksi, dan transportasi online seperti Uber atau Careem. Bapak/ibu perlu informasi lebih detail mengenai salah satu jenis transportasi ini? (Halaman: 36-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
125,Bagaimana cara menggunakan taksi di Makkah dan Madinah?,"Halo bapak/ibu, untuk menggunakan taksi di Makkah dan Madinah, pastikan bapak/ibu mengetahui tarif yang berlaku atau gunakan aplikasi taksi online untuk memastikan tarif yang wajar. Jangan ragu untuk menawar tarif jika menggunakan taksi konvensional. Ada hal lain yang bapak/ibu ingin tahu tentang penggunaan taksi? (Halaman: 36-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
126,Apa saja tempat penginapan yang direkomendasikan di Makkah dan Madinah?,"Halo bapak/ibu, beberapa tempat penginapan yang direkomendasikan di Makkah dan Madinah adalah hotel bintang tiga atau lebih yang dekat dengan Masjidil Haram dan Masjid Nabawi. Pastikan hotel tersebut memiliki fasilitas yang memadai. Bapak/ibu ingin rekomendasi hotel tertentu? (Halaman: 30-33, 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
127,Bagaimana cara memilih penginapan yang aman dan nyaman selama umrah?,"Halo bapak/ibu, untuk memilih penginapan yang aman dan nyaman selama umrah, pastikan hotel tersebut memiliki sertifikasi dari pemerintah dan ulasan yang baik dari tamu sebelumnya. Bapak/ibu sudah memiliki pilihan hotel atau butuh rekomendasi? (Halaman: 30-33, 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
128,Apa saja fasilitas yang harus ada di penginapan selama umrah?,"Halo bapak/ibu, fasilitas yang harus ada di penginapan selama umrah antara lain Wi-Fi, tempat makan, layanan kebersihan, dan kemudahan akses ke Masjidil Haram atau Masjid Nabawi. Apakah ada fasilitas khusus yang bapak/ibu butuhkan selama menginap? (Halaman: 30-33, 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
129,Bagaimana cara mengatur waktu selama umrah?,"Halo bapak/ibu, untuk mengatur waktu selama umrah, bapak/ibu bisa membuat jadwal harian yang mencakup waktu ibadah, ziarah, dan istirahat. Usahakan untuk selalu mengikuti jadwal salat di Masjidil Haram atau Masjid Nabawi. Apakah bapak/ibu butuh bantuan untuk menyusun jadwal? (Halaman: -)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
130,Apa saja jadwal kegiatan umrah yang perlu diikuti?,"Halo bapak/ibu, jadwal kegiatan umrah yang perlu diikuti meliputi niat umrah, tawaf, sa’i, dan tahallul. Pastikan bapak/ibu juga mengikuti jadwal ziarah yang sudah diatur oleh pihak penyelenggara. Ada bagian dari jadwal yang ingin bapak/ibu tanyakan lebih lanjut? (Halaman: 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
131,Bagaimana cara menjaga keamanan diri selama umrah?,"Halo bapak/ibu, untuk menjaga keamanan diri selama umrah, pastikan selalu bersama rombongan, jangan terlalu sering bepergian sendiri, dan simpan barang berharga di tempat yang aman. Apakah ada hal lain yang bapak/ibu ingin ketahui? (Halaman: 30-33, 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
132,Apa saja tips agar tetap aman selama umrah?,"Halo bapak/ibu, beberapa tips agar tetap aman selama umrah antara lain: selalu bersama rombongan, hindari membawa banyak uang tunai, dan gunakan tas yang aman. Ada tips lainnya yang ingin bapak/ibu tanyakan? (Halaman: 30-33, 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
133,Bagaimana cara menghindari kerumunan selama umrah?,"Halo bapak/ibu, untuk menghindari kerumunan selama umrah, usahakan pergi ke Masjidil Haram atau Masjid Nabawi di luar jam-jam puncak. Selain itu, tetaplah bersama rombongan. Apakah ada cara lain yang bapak/ibu ingin tahu? (Halaman: 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
134,Apa yang harus dilakukan jika terpisah dari rombongan selama umrah?,"Halo bapak/ibu, jika terpisah dari rombongan selama umrah, tetap tenang dan cari tempat yang ramai seperti pintu utama masjid untuk bertemu kembali. Bapak/ibu ada pertanyaan lain terkait hal ini? (Halaman: 35-39)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
